name,full_name,birth_date,age,height_cm,weight_kgs,positions,nationality,overall_rating,potential,value_euro,wage_euro,preferred_foot,international_reputation(1-5),weak_foot(1-5),skill_moves(1-5),body_type,release_clause_euro,national_team,national_rating,national_team_position,national_jersey_number,Defending,Physical_Mobility,Finishing_Attacking,Static_Physical_Reactivity,Technique_Creativity,Aggression_Aerial
F. Jagiełło,Filip Jagiełło,8/8/1997,21,154.94,69.9,"CM,CDM,CAM",Poland,63,71,550000.0,2000.0,Right,1,3,3,Normal,,,,,,43.25,72.2,53.57142857142857,61.666666666666664,63.857142857142854,42.5
W. Jordán,Wilmar Jordán Gil,10/17/1990,28,154.94,87.1,ST,Colombia,63,63,400000.0,1000.0,Right,1,2,3,Normal,540000.0,,,,,29.25,58.8,56.142857142857146,55.333333333333336,62.42857142857143,48.5
J. Fehr,Jeff-Denis Fehr,9/8/1994,24,175.26,69.9,"LM,LB",Germany,63,68,500000.0,1000.0,Left,1,4,3,Lean,763000.0,,,,,48.25,79.8,47.0,58.666666666666664,57.714285714285715,54.0
T. Ephestion,Thomas Ephestion,6/9/1995,23,187.96,87.1,"CM,CDM",France,63,70,500000.0,1000.0,Left,1,3,3,Lean,975000.0,,,,,57.0,60.0,48.714285714285715,65.33333333333333,62.142857142857146,61.5
M. Done,Matt Done,7/22/1988,30,152.4,64.9,"LB,LM",Wales,63,63,280000.0,1000.0,Left,1,2,2,Normal,490000.0,,,,,55.75,77.4,58.42857142857143,65.66666666666667,61.714285714285715,52.5
C. Lindquist,Christopher Lindquist,10/30/1995,23,154.94,68.9,RB,Norway,63,71,450000.0,1000.0,Right,1,3,2,Lean,653000.0,,,,,58.5,70.8,46.714285714285715,62.333333333333336,56.57142857142857,54.0
C. Dummigan,Cameron Dummigan,6/2/1996,22,154.94,69.9,"RB,RWB,RM",Northern Ireland,63,72,475000.0,1000.0,Right,1,3,2,Lean,831000.0,,,,,61.5,73.0,35.142857142857146,61.0,52.0,54.0
C. Hinestroza,César Augusto Hinestroza Lozano,11/20/1989,29,172.72,71.2,LB,Colombia,63,63,290000.0,1000.0,Left,1,2,2,Normal,392000.0,,,,,60.0,72.2,52.42857142857143,61.666666666666664,59.714285714285715,46.0
J. Vásquez,Jhon Vásquez,2/12/1995,24,175.26,78.0,"RM,ST",Colombia,63,68,500000.0,1000.0,Right,1,3,2,Stocky,713000.0,,,,,20.0,74.2,56.0,64.33333333333333,59.142857142857146,42.5
M. Salas,Maximiliano Salas,12/1/1997,21,172.72,79.8,CF,Argentina,63,73,600000.0,1000.0,Left,1,3,2,Stocky,930000.0,,,,,24.25,70.6,53.857142857142854,66.33333333333333,57.857142857142854,37.5
Park Hyeong Jin,박형진 朴亨秦,6/24/1990,28,182.88,74.8,"LM,LB",Korea Republic,63,63,375000.0,2000.0,Left,1,3,2,Normal,469000.0,,,,,60.25,72.0,48.57142857142857,54.333333333333336,58.42857142857143,43.0
A. Andrianarimanana,Andriamirado Andrianarimanana,4/21/1991,27,152.4,82.1,"CM,CAM,CDM,RM",Madagascar,63,64,425000.0,1000.0,Right,1,4,2,Normal,967000.0,,,,,58.75,67.8,47.285714285714285,71.66666666666667,61.714285714285715,62.0
D. Barreto,Diego Barreto,5/31/1993,25,154.94,77.1,CAM,Paraguay,63,67,475000.0,1000.0,Right,1,3,3,Lean,677000.0,,,,,42.25,69.4,51.0,58.333333333333336,62.142857142857146,42.0
A. Al Barakah,Abdulrahman Al Barakah,9/21/1990,28,175.26,68.9,"CDM,CM",Saudi Arabia,63,64,350000.0,4000.0,Right,1,3,2,Normal,604000.0,,,,,61.75,62.8,40.42857142857143,67.66666666666667,56.142857142857146,63.0
T. Vincensini,Thomas Vincensini,9/12/1993,25,182.88,78.9,GK,France,63,69,375000.0,1000.0,Right,1,2,1,Lean,731000.0,,,,,16.25,45.4,15.714285714285714,55.333333333333336,24.428571428571427,21.5
F. Camara,Fodé Camara,4/17/1998,20,167.64,64.0,LB,Guinea,63,72,500000.0,1000.0,Left,1,2,2,Normal,975000.0,,,,,62.75,79.4,37.857142857142854,55.0,47.142857142857146,56.5
D. Soto,Diego Soto,10/22/1998,20,170.18,69.9,"LB,CB",Chile,63,78,700000.0,1000.0,Left,1,3,2,Lean,1400000.0,,,,,63.75,67.2,38.57142857142857,62.666666666666664,50.57142857142857,65.5
R. Lamie,Ricki Lamie,6/20/1993,25,187.96,84.8,"LWB,CB",Scotland,63,67,400000.0,1000.0,Left,1,3,2,Normal,730000.0,,,,,63.0,64.6,26.714285714285715,72.33333333333333,48.285714285714285,66.0
F. Zoko,François Bernard Dassise Zoko,9/13/1983,35,182.88,74.8,ST,Ivory Coast,63,63,190000.0,2000.0,Right,1,3,2,Stocky,333000.0,,,,,28.5,69.4,59.857142857142854,68.0,56.57142857142857,59.5
De Nova,Iván De Nova Ruiz,9/22/1996,22,182.88,77.1,"LB,CB",Spain,63,70,450000.0,1000.0,Left,1,3,2,Normal,788000.0,,,,,61.25,69.6,44.142857142857146,66.66666666666667,58.714285714285715,64.0
A. Ibrahimaj,Ali Ibrahimaj,8/18/1991,27,154.94,73.9,RM,Germany,63,63,400000.0,2000.0,Right,1,4,3,Stocky,580000.0,,,,,26.5,72.2,52.57142857142857,60.0,56.42857142857143,52.5
Josín,Jose Antonio Martinez Álvarez,7/29/1997,21,154.94,69.9,CB,Spain,63,72,500000.0,2000.0,Right,1,3,2,Normal,900000.0,,,,,63.0,61.8,32.57142857142857,64.0,47.57142857142857,61.0
A. Al Suwat,Abdulmajeed Abdullah Al-Swat,4/21/1995,23,167.64,57.2,"CAM,RM,CM",Saudi Arabia,63,68,500000.0,4000.0,Right,1,3,3,Normal,863000.0,,,,,44.75,65.4,50.42857142857143,51.666666666666664,62.57142857142857,52.0
M. Penney,Matt Penney,2/11/1998,21,175.26,64.0,"LB,LWB",England,63,76,625000.0,4000.0,Left,1,3,2,Lean,1600000.0,,,,,59.25,73.2,60.0,57.666666666666664,61.285714285714285,56.5
A. Ferati,Arianit Ferati,9/7/1997,21,170.18,71.2,"CAM,RM",Germany,63,74,625000.0,2000.0,Left,1,3,3,Normal,1100000.0,,,,,36.5,74.4,53.142857142857146,49.666666666666664,63.142857142857146,49.0
V. Bindia,Victor Demba Bindia,8/6/1989,29,167.64,68.9,"RB,RWB,CB",Senegal,63,63,290000.0,1000.0,Right,1,4,2,Normal,363000.0,,,,,57.25,81.4,44.0,71.0,57.714285714285715,56.5
L. Krogh Gerson,Lars Christian Krogh Gerson,2/5/1990,29,187.96,76.2,"CB,CM,RWB",Luxembourg,63,63,300000.0,2000.0,Right,1,3,2,Lean,375000.0,,,,,58.75,61.6,54.285714285714285,63.0,65.42857142857143,66.0
H. Mashiane,Happy Mashiane,1/1/1998,21,170.18,69.9,"LB,LM",South Africa,63,77,725000.0,1000.0,Left,1,3,2,Normal,2000000.0,,,,,59.5,73.4,39.42857142857143,53.333333333333336,53.42857142857143,46.0
R. Herrmann,Robert Herrmann,8/10/1993,25,154.94,72.1,"LM,RM",Germany,63,66,475000.0,2000.0,Left,1,3,3,Normal,772000.0,,,,,27.75,70.6,54.42857142857143,60.666666666666664,57.714285714285715,44.5
Kim Joon Hyeong,Joon Hyeong Kim,4/5/1996,22,152.4,73.0,"CM,CDM",Korea Republic,63,71,525000.0,2000.0,Left,1,3,2,Normal,761000.0,,,,,56.0,67.2,51.57142857142857,63.333333333333336,63.0,59.5
M. Traore,Mamadou Traore,10/3/1994,24,190.5,79.8,CDM,Mali,63,67,400000.0,2000.0,Right,1,2,2,Lean,870000.0,,,,,63.0,45.4,31.571428571428573,61.666666666666664,50.42857142857143,67.0
D. Tshiembe,Delphin Tshiembe,7/17/1991,27,187.96,84.8,"CB,CDM,CM",Denmark,63,66,375000.0,2000.0,Right,1,3,2,Normal,684000.0,,,,,58.0,63.2,38.42857142857143,68.33333333333333,57.714285714285715,66.0
J. Lungi Sørensen,Jacob Lungi Sørensen,3/3/1998,21,182.88,77.1,CM,Denmark,63,74,625000.0,2000.0,Right,1,3,3,Normal,906000.0,,,,,56.25,67.4,54.57142857142857,66.33333333333333,61.42857142857143,52.5
M. Ristl,Mart Ristl,7/7/1996,22,152.4,77.1,"CDM,RB,CM",Germany,63,70,450000.0,1000.0,Right,1,4,2,Lean,743000.0,,,,,62.5,63.2,41.142857142857146,65.33333333333333,57.857142857142854,61.0
E. Bwomono,Elvis Bwomono,11/29/1998,20,182.88,72.1,"RB,LB",England,63,76,600000.0,1000.0,Right,1,3,2,Lean,1400000.0,,,,,59.25,78.4,34.857142857142854,62.333333333333336,50.857142857142854,54.0
L. Waterfall,Luke Waterfall,7/30/1990,28,187.96,83.9,CB,England,63,64,350000.0,2000.0,Right,1,3,2,Normal,639000.0,,,,,61.75,52.2,35.142857142857146,68.66666666666667,38.857142857142854,64.5
F. Azemi,Fitim Azemi,6/25/1992,26,185.42,81.2,"ST,RM,RW",Norway,63,65,450000.0,1000.0,Right,1,3,2,Normal,596000.0,,,,,35.0,71.6,55.142857142857146,75.0,58.142857142857146,58.0
Juan Hernández,Juan Hernández García,12/6/1994,24,152.4,72.1,"RM,ST",Spain,63,69,500000.0,4000.0,Left,1,3,3,Lean,,,,,,22.5,61.2,54.285714285714285,52.333333333333336,60.142857142857146,32.0
A. Nouri,Amir Nouri,7/10/1994,24,152.4,66.2,CDM,France,63,71,475000.0,1000.0,Right,1,3,2,Lean,926000.0,,,,,61.25,73.4,42.57142857142857,59.0,58.142857142857146,59.5
D. Wiebe,Danilo Wiebe,3/22/1994,24,187.96,73.0,CDM,Germany,63,66,400000.0,1000.0,Right,1,3,2,Lean,610000.0,,,,,60.5,61.6,38.285714285714285,63.0,57.142857142857146,61.0
M. Stoll,Martin Stoll,2/9/1983,36,187.96,79.8,CB,Germany,63,63,90000.0,1000.0,Right,1,4,2,Normal,131000.0,,,,,62.75,40.4,33.857142857142854,63.666666666666664,49.57142857142857,62.0
B. Babiarz,Bartłomiej Babiarz,2/3/1989,30,167.64,68.0,"CDM,CM",Poland,63,63,290000.0,1000.0,Right,1,3,2,Lean,392000.0,,,,,63.0,78.0,55.0,60.0,60.42857142857143,64.5
Robinho,Robinho Barbosa de Lisboa,1/19/1995,24,165.1,67.1,"LM,RM",Brazil,63,68,500000.0,2000.0,Right,1,3,4,Lean,788000.0,,,,,25.5,79.8,55.0,57.0,57.714285714285715,50.0
J. Simpson,Jack Simpson,1/8/1997,22,182.88,83.0,CB,England,63,73,525000.0,7000.0,Left,1,2,2,Normal,1100000.0,,,,,62.5,55.0,33.57142857142857,65.0,47.714285714285715,63.5
C. Cangá,Cristian Stiven Cangá Vargas,2/23/1991,28,182.88,79.8,ST,Colombia,63,63,400000.0,1000.0,Right,1,3,2,Normal,540000.0,,,,,29.75,65.4,57.57142857142857,67.66666666666667,57.714285714285715,54.0
J. O'Brien,Jim O'Brien,9/28/1987,31,152.4,64.0,"CM,RM,CDM",Scotland,63,63,350000.0,4000.0,Right,1,3,3,Normal,613000.0,,,,,49.5,71.4,60.0,61.333333333333336,62.285714285714285,55.0
P. Pomykal,Paxton Pomykal,12/17/1999,19,170.18,66.2,"RM,CAM",United States,63,78,750000.0,1000.0,Left,1,3,2,Lean,1600000.0,,,,,32.5,72.8,53.857142857142854,59.666666666666664,59.42857142857143,40.0
D. Buchanan,David Buchanan,5/6/1986,32,172.72,67.1,"LB,LWB",Northern Ireland,63,63,200000.0,3000.0,Left,1,2,2,Normal,350000.0,,,,,62.75,70.2,42.285714285714285,68.33333333333333,57.57142857142857,57.5
E. Mjelde,Erik Nevdal Mjelde,3/6/1984,35,154.94,73.9,"CM,CAM,ST",Norway,63,63,180000.0,1000.0,Left,1,4,3,Normal,225000.0,,,,,54.75,67.6,65.42857142857143,71.0,64.42857142857143,58.0
L. Rath,Lukas Rath,1/18/1992,27,182.88,79.8,"LB,CB",Austria,63,64,350000.0,4000.0,Left,1,3,2,Normal,534000.0,,,,,60.75,67.2,45.0,72.66666666666667,57.285714285714285,62.5
Y. Matsushita,松下 佳貴,3/3/1994,25,175.26,67.1,"LM,LB,CDM,CM",Japan,63,68,500000.0,1000.0,Left,1,2,2,Lean,663000.0,,,,,42.25,69.6,46.42857142857143,55.666666666666664,58.0,50.5
S. Pino,Stefan Pino,2/26/1994,25,198.12,93.9,ST,Chile,63,67,500000.0,1000.0,Right,1,3,3,Normal,713000.0,,,,,23.5,65.0,47.57142857142857,65.0,59.57142857142857,64.0
L. García,Luís García,3/20/1998,20,182.88,78.0,GK,Colombia,63,72,425000.0,2000.0,Right,1,2,1,Normal,978000.0,,,,,17.5,52.4,18.428571428571427,57.666666666666664,33.285714285714285,19.0
Wanderson,Wanderson Carvalho Oliveira,3/31/1989,29,172.72,59.9,"LM,LW",Brazil,63,63,350000.0,2000.0,Left,1,3,3,Normal,438000.0,,,,,56.0,73.6,54.142857142857146,67.33333333333333,58.42857142857143,56.5
J. Putze,Joshua Putze,12/2/1994,24,185.42,78.0,"CDM,CM",Germany,63,68,425000.0,1000.0,Right,1,3,2,Normal,648000.0,,,,,62.5,60.8,43.285714285714285,63.666666666666664,57.714285714285715,56.0
D. Bojanić,Darijan Bojanić,12/28/1994,24,182.88,73.9,"CM,CAM",Sweden,63,69,500000.0,1000.0,Right,1,3,3,Normal,725000.0,,,,,47.5,62.4,61.0,53.666666666666664,67.0,53.5
F. Barrientos,Felipe Andrés Barrientos Mena,3/6/1997,22,170.18,59.9,"RM,CF",Chile,63,76,700000.0,1000.0,Right,1,3,2,Normal,1400000.0,,,,,22.75,77.2,49.714285714285715,46.333333333333336,56.0,43.5
S. Larsen,Simon Andreas Larsen,6/1/1988,30,193.04,83.9,"CB,RB",Norway,63,63,270000.0,1000.0,Right,1,3,2,Lean,338000.0,,,,,59.75,48.4,28.428571428571427,67.0,52.857142857142854,64.0
A. Dijksteel,Anfernee Dijksteel,10/27/1996,22,182.88,72.1,RB,Netherlands,63,74,550000.0,2000.0,Right,1,2,2,Lean,1100000.0,,,,,63.0,68.0,33.0,66.66666666666667,55.42857142857143,63.0
P. Wilson,Peter Wilson,10/9/1996,22,182.88,73.9,"CF,ST",Sweden,63,73,600000.0,1000.0,Right,1,2,2,Lean,870000.0,,,,,25.25,79.8,52.714285714285715,69.0,56.714285714285715,49.5
R. Uldrikis,Roberts Uldrikis,4/3/1998,20,198.12,92.1,ST,Latvia,63,80,825000.0,5000.0,Right,1,3,2,Normal,1700000.0,,,,,26.25,56.6,50.285714285714285,70.0,57.857142857142854,67.5
F. Cernuto,Francesco Cernuto,1/25/1992,27,154.94,72.1,CB,Italy,63,66,375000.0,1000.0,Right,1,2,2,Lean,609000.0,,,,,61.0,59.8,30.571428571428573,71.33333333333333,48.142857142857146,59.0
K. Osyra,Kornel Osyra,2/7/1993,26,190.5,74.8,CB,Poland,63,67,400000.0,1000.0,Right,1,3,2,Lean,570000.0,,,,,61.5,61.6,39.142857142857146,68.33333333333333,49.714285714285715,58.0
J. Teze,Jordan Teze,9/30/1999,19,154.94,68.0,"RB,CB",Netherlands,63,80,675000.0,1000.0,Right,1,3,2,Normal,1400000.0,,,,,61.25,66.6,40.42857142857143,64.33333333333333,55.57142857142857,62.0
A. Gnahoua,Arthur Gnahoua,4/5/1992,26,185.42,79.8,LM,France,63,64,425000.0,3000.0,Left,1,4,3,Normal,776000.0,,,,,22.25,78.4,50.857142857142854,71.66666666666667,62.42857142857143,49.0
T. Conechny,Tomás Conechny,3/30/1998,20,170.18,64.9,"ST,LM,RM",Argentina,63,78,825000.0,3000.0,Left,1,3,2,Normal,,,,,,17.0,80.4,54.714285714285715,61.666666666666664,53.714285714285715,46.5
E. Baldini,Enrico Baldini,11/13/1996,22,152.4,73.0,LW,Italy,63,74,625000.0,1000.0,Right,1,4,3,Lean,1100000.0,,,,,25.25,68.6,52.57142857142857,55.0,61.0,37.5
P. Polczak,Piotr Paweł Polczak,8/25/1986,32,193.04,74.8,CB,Poland,63,63,250000.0,1000.0,Right,1,2,2,Normal,338000.0,,,,,60.25,41.8,27.0,63.0,48.42857142857143,68.0
A. Sharahili,Ahmed Mohammed Sharahili,5/8/1994,24,185.42,74.8,CB,Saudi Arabia,63,70,450000.0,5000.0,Left,1,3,2,Normal,855000.0,,,,,61.0,68.2,31.285714285714285,70.33333333333333,44.42857142857143,62.5
T. Schilk,Tobias Schilk,3/24/1992,26,187.96,74.8,"CB,RWB",Germany,63,65,375000.0,1000.0,Right,1,4,2,Normal,572000.0,,,,,61.25,64.6,35.142857142857146,64.0,54.0,58.5
K. Despodov,Kiril Despodov,11/11/1996,22,152.4,68.9,RW,Bulgaria,63,71,550000.0,5000.0,Right,1,3,3,Normal,1000000.0,Bulgaria,67.0,LM,19.0,22.25,71.8,54.857142857142854,60.333333333333336,59.42857142857143,51.0
A. Danch,Adam Danch,12/15/1987,31,154.94,77.1,"CB,CDM",Poland,63,63,270000.0,1000.0,Right,1,3,2,Normal,365000.0,,,,,60.5,57.6,39.0,72.0,54.0,60.5
J. Flores,Jordan Flores,10/4/1995,23,154.94,74.8,"CM,LM,CAM",England,63,71,525000.0,1000.0,Right,1,3,3,Normal,919000.0,,,,,48.5,71.6,60.42857142857143,59.0,63.0,48.5
J. Konings,Joey Konings,4/21/1998,20,152.4,77.1,ST,Netherlands,63,73,600000.0,2000.0,Left,1,3,2,Normal,990000.0,,,,,19.5,68.2,53.285714285714285,58.666666666666664,54.714285714285715,56.5
N. Fujita,藤田 直之,6/22/1987,31,175.26,72.1,"CM,CDM,CAM",Japan,63,63,325000.0,2000.0,Right,1,3,2,Lean,406000.0,,,,,53.75,62.2,43.57142857142857,64.33333333333333,58.714285714285715,47.0
J. McNerney,Joe McNerney,1/24/1990,29,193.04,83.9,CB,England,63,64,325000.0,2000.0,Right,1,2,2,Normal,593000.0,,,,,60.0,45.2,23.142857142857142,72.66666666666667,40.57142857142857,63.5
Choi Jae Soo,최재수 崔在洙,5/2/1983,35,175.26,68.0,"LB,CB",Korea Republic,63,63,80000.0,1000.0,Left,1,4,2,Normal,100000.0,,,,,58.75,62.0,62.57142857142857,64.66666666666667,59.857142857142854,66.5
O. Tounkara,Oumare Tounkara,5/25/1990,28,187.96,92.1,"ST,LM",France,63,63,375000.0,2000.0,Right,1,3,2,Normal,656000.0,,,,,34.75,73.2,53.142857142857146,66.33333333333333,53.142857142857146,63.5
J. Rodríguez,Juan Gabriel Rodríguez,2/28/1994,25,187.96,76.2,CB,Argentina,63,70,450000.0,2000.0,Right,1,2,2,Normal,743000.0,,,,,64.5,58.8,30.142857142857142,61.333333333333336,48.142857142857146,57.5
R. Taillan,Robin Taillan,5/27/1992,26,182.88,69.9,RB,France,63,65,375000.0,1000.0,Right,1,2,2,Lean,684000.0,,,,,59.5,70.2,33.857142857142854,62.0,52.142857142857146,46.5
A. Georgiou,Anthony Georgiou,2/24/1997,22,152.4,73.0,"LM,LB",Cyprus,63,75,650000.0,10000.0,Left,1,2,3,Lean,,,,,,54.5,69.0,48.142857142857146,50.666666666666664,57.0,44.0
J. Barny,Junes Barny,11/4/1989,29,152.4,78.0,"CM,ST,LM",Sweden,63,63,375000.0,1000.0,Right,1,4,3,Normal,469000.0,,,,,59.0,65.2,54.857142857142854,58.333333333333336,61.0,58.0
A. Chambers,Adam Craig Chambers,11/20/1980,38,152.4,71.2,"CM,CDM",England,63,63,120000.0,1000.0,Right,1,3,2,Normal,210000.0,,,,,66.5,66.0,42.714285714285715,72.66666666666667,61.57142857142857,69.5
J. Piroe,Joël Piroe,8/2/1999,19,185.42,81.2,ST,Netherlands,63,78,775000.0,2000.0,Right,1,4,3,Normal,1600000.0,,,,,24.25,62.6,57.285714285714285,63.666666666666664,53.857142857142854,49.0
R. Lemus,Róger Lemus,1/27/1992,27,170.18,68.9,CM,Colombia,63,64,425000.0,1000.0,Left,1,3,3,Normal,606000.0,,,,,48.75,74.2,49.0,56.333333333333336,64.14285714285714,41.5
M. Pinnock,Mitchell Pinnock,12/12/1994,24,182.88,68.9,"RM,LM",England,63,69,500000.0,2000.0,Left,1,3,2,Normal,975000.0,,,,,27.75,70.2,56.0,61.666666666666664,59.42857142857143,45.0
B. Sekulić,Boris Sekulić,11/21/1991,27,185.42,82.1,"RB,CB",Slovakia,63,64,350000.0,1000.0,Right,1,2,2,Normal,499000.0,,,,,63.75,61.6,37.714285714285715,65.66666666666667,52.142857142857146,60.5
C. Andrew,Calvin Andrew,12/19/1986,32,187.96,82.1,"ST,RM",England,63,63,325000.0,1000.0,Left,1,3,2,Normal,569000.0,,,,,43.0,70.8,51.0,75.66666666666667,57.42857142857143,72.5
A. McEneff,Aaron McEneff,7/9/1995,23,175.26,69.9,"CM,CDM",Republic of Ireland,63,72,550000.0,1000.0,Right,1,3,2,Normal,963000.0,,,,,53.5,75.0,59.857142857142854,59.333333333333336,62.857142857142854,53.5
Tan Tiancheng,谭天澄,5/15/1991,27,152.4,69.9,ST,China PR,63,64,425000.0,3000.0,Right,1,3,2,Normal,946000.0,,,,,23.0,68.8,49.42857142857143,58.0,52.714285714285715,43.0
E. Marxen,Erik Marxen,12/2/1990,28,185.42,79.8,"CB,LB",Denmark,63,63,300000.0,3000.0,Left,1,2,2,Normal,375000.0,,,,,62.25,65.8,52.142857142857146,62.333333333333336,56.57142857142857,59.5
P. Jones,Paul Jones,6/28/1986,32,190.5,83.0,GK,England,63,63,210000.0,2000.0,Right,1,3,1,Normal,368000.0,,,,,12.0,37.8,13.714285714285714,60.0,27.142857142857142,24.5
A. Al Mazaidi,Ali Ibrahim Al Mazyadi,9/24/1985,33,190.5,86.2,GK,Saudi Arabia,63,63,210000.0,4000.0,Right,1,3,1,Normal,347000.0,,,,,17.75,40.4,14.714285714285714,37.666666666666664,23.857142857142858,25.5
R. Nilsson,Robin Nilsson,9/15/1988,30,182.88,79.8,"CM,CDM",Sweden,63,63,350000.0,1000.0,Right,1,3,2,Stocky,438000.0,,,,,62.75,65.8,48.42857142857143,65.66666666666667,60.857142857142854,68.5
M. Bartley,Marvin Bartley,7/4/1986,32,154.94,78.9,CM,England,63,63,325000.0,2000.0,Right,1,3,2,Stocky,569000.0,,,,,67.5,68.0,44.0,73.33333333333333,58.42857142857143,67.5
M. Grösch,Marius Grösch,3/7/1994,25,187.96,79.8,"CB,CDM",Germany,63,68,425000.0,1000.0,Right,1,4,2,Normal,648000.0,,,,,64.0,59.2,24.714285714285715,68.0,41.857142857142854,57.5
S. Laird,Scott Laird,5/15/1988,30,182.88,83.0,"LB,LWB",England,63,63,270000.0,3000.0,Left,1,3,2,Normal,,,,,,58.25,68.0,55.57142857142857,69.33333333333333,59.42857142857143,62.0
R. Tapia,Rodrigo Ernesto Tapia,9/28/1994,24,182.88,78.0,"CB,LB",Argentina,63,72,500000.0,3000.0,Right,1,3,2,Lean,,,,,,60.0,68.8,43.0,72.33333333333333,54.42857142857143,54.0
Isi,Isaac Gómez Sánchez,10/28/1995,23,170.18,60.8,"CM,CAM",Spain,63,69,500000.0,2000.0,Right,1,3,3,Lean,900000.0,,,,,51.75,67.2,53.42857142857143,56.333333333333336,60.57142857142857,47.0
S. Braun,Sandrino Braun,7/4/1988,30,154.94,73.0,CDM,Germany,63,63,290000.0,1000.0,Right,1,3,2,Normal,421000.0,,,,,61.0,64.2,38.42857142857143,68.0,55.42857142857143,61.5
B. Körk,Bora Körk,6/9/1980,38,187.96,73.0,GK,Turkey,63,63,20000.0,2000.0,Right,1,2,1,Normal,40000.0,,,,,17.25,46.4,14.142857142857142,57.333333333333336,21.142857142857142,26.0
L. O'Neill,Luke O'Neill,8/20/1991,27,182.88,72.1,"RB,RWB",England,63,64,350000.0,2000.0,Right,1,2,2,Lean,639000.0,,,,,57.25,70.0,45.714285714285715,65.33333333333333,57.285714285714285,60.0
A. Redmayne,Andrew Redmayne,1/13/1989,30,193.04,83.0,GK,Australia,63,63,250000.0,2000.0,Right,1,2,1,Normal,313000.0,,,,,14.5,36.8,13.285714285714286,53.666666666666664,23.571428571428573,19.5
O. Sissoko,Oumar Sissoko,9/13/1987,31,187.96,83.9,GK,Mali,63,63,240000.0,1000.0,Right,1,2,1,Normal,420000.0,,,,,13.75,40.0,12.285714285714286,60.333333333333336,24.714285714285715,17.0
A. Kubalas,Alihan Kubalas,10/26/1991,27,185.42,78.0,CB,Turkey,63,66,375000.0,4000.0,Right,1,2,2,Lean,778000.0,,,,,68.25,51.0,28.142857142857142,63.333333333333336,36.285714285714285,56.5
Pedro Díaz,Pedro Díaz Fanjul,6/5/1998,20,154.94,74.8,"CAM,CM,RM",Spain,63,74,625000.0,2000.0,Right,1,3,3,Lean,1100000.0,,,,,33.5,65.2,56.142857142857146,47.333333333333336,62.0,40.0
F. Krogstad,Fredrik Krogstad,6/6/1995,23,154.94,79.8,"CM,RM",Norway,63,71,525000.0,1000.0,Right,1,2,2,Normal,761000.0,,,,,54.75,67.8,58.142857142857146,62.333333333333336,61.714285714285715,51.0
I. Pękalski,Ivo Pękalski,11/3/1990,28,182.88,78.0,"CM,CDM",Sweden,63,63,375000.0,3000.0,Right,1,3,2,Normal,656000.0,,,,,60.75,62.6,49.42857142857143,70.66666666666667,65.14285714285714,65.0
N. Rehnen,Nikolai Rehnen,2/4/1997,22,190.5,82.1,GK,Germany,63,74,500000.0,2000.0,Right,1,3,1,Normal,,,,,,10.5,34.6,14.571428571428571,55.0,21.142857142857142,14.0
J. Yates,Jerry Yates,11/10/1996,22,175.26,68.0,"ST,RM",England,63,70,525000.0,5000.0,Right,1,3,2,Lean,1100000.0,,,,,24.5,72.6,52.0,64.66666666666667,53.42857142857143,57.0
T. Bröker,Thomas Bröker,1/22/1985,34,187.96,86.2,"RM,LM,CF",Germany,63,63,220000.0,1000.0,Right,1,2,3,Normal,319000.0,,,,,37.25,68.0,53.0,69.33333333333333,58.714285714285715,63.5
P. Diouf,Pape Alioune Diouf,6/22/1989,29,154.94,71.2,"ST,RM",Senegal,63,63,375000.0,1000.0,Right,1,3,2,Lean,469000.0,,,,,27.0,77.2,53.0,68.33333333333333,59.142857142857146,46.5
A. Gabrielli,Ángelo Gabrielli,9/23/1992,26,152.4,77.1,RB,Uruguay,63,66,375000.0,3000.0,Right,1,2,2,Normal,591000.0,,,,,62.75,63.2,42.0,58.333333333333336,52.714285714285715,59.5
I. Twum,Isaac Twum,2/14/1998,21,175.26,63.0,CM,Ghana,63,76,700000.0,1000.0,Right,1,3,2,Lean,1300000.0,,,,,51.5,72.8,55.714285714285715,63.0,62.0,58.0
J. Bataille,Jelle Bataille,5/20/1999,19,175.26,71.2,RM,Belgium,63,75,650000.0,2000.0,Right,1,3,3,Lean,1100000.0,,,,,31.5,68.8,46.714285714285715,55.666666666666664,60.142857142857146,34.5
S. Perisan,Samuele Perisan,8/21/1997,21,193.04,83.0,GK,Italy,63,72,425000.0,2000.0,Right,1,3,1,Normal,808000.0,,,,,16.0,42.2,16.285714285714285,57.666666666666664,22.571428571428573,19.0
J. Garner,James Garner,3/13/2001,17,182.88,74.8,"CDM,CM,CB",England,63,83,650000.0,7000.0,Right,1,3,2,Lean,1900000.0,,,,,59.75,63.8,52.857142857142854,60.0,60.57142857142857,58.5
L. Ndao,Mouhamadou Lamine N'Dao,12/19/1994,24,152.4,76.2,"ST,RW,LW",Senegal,63,67,500000.0,1000.0,Right,1,4,2,Normal,913000.0,,,,,46.25,72.6,55.57142857142857,67.66666666666667,59.0,59.0
M. Königs,Marco Königs,1/25/1990,29,187.96,88.9,ST,Germany,63,63,375000.0,1000.0,Right,1,3,2,Stocky,544000.0,,,,,22.75,49.4,56.285714285714285,70.33333333333333,53.714285714285715,69.0
